date;holidayname;subcountry
2048-01-01;Neujahr;BY
2048-04-03;Karfreitag;BY
2048-04-06;Ostermontag;BY
2048-05-01;Erster Mai;BY
2048-05-14;Christi Himmelfahrt;BY
2048-05-25;Pfingstmontag;BY
2048-10-03;Tag der Deutschen Einheit;BY
2048-12-25;Erster Weihnachtstag;BY
2048-12-26;Zweiter Weihnachtstag;BY
2048-01-06;Heilige Drei Könige;BY
2048-06-04;Fronleichnam;BY
2048-11-01;Allerheiligen;BY
2049-01-01;Neujahr;BY
2049-04-16;Karfreitag;BY
2049-04-19;Ostermontag;BY
2049-05-01;Erster Mai;BY
2049-05-27;Christi Himmelfahrt;BY
2049-06-07;Pfingstmontag;BY
2049-10-03;Tag der Deutschen Einheit;BY
2049-12-25;Erster Weihnachtstag;BY
2049-12-26;Zweiter Weihnachtstag;BY
2049-01-06;Heilige Drei Könige;BY
2049-06-17;Fronleichnam;BY
2049-11-01;Allerheiligen;BY
2050-01-01;Neujahr;BY
2050-04-08;Karfreitag;BY
2050-04-11;Ostermontag;BY
2050-05-01;Erster Mai;BY
2050-05-19;Christi Himmelfahrt;BY
2050-05-30;Pfingstmontag;BY
2050-10-03;Tag der Deutschen Einheit;BY
2050-12-25;Erster Weihnachtstag;BY
2050-12-26;Zweiter Weihnachtstag;BY
2050-01-06;Heilige Drei Könige;BY
2050-06-09;Fronleichnam;BY
2050-11-01;Allerheiligen;BY
2051-01-01;Neujahr;BY
2051-03-31;Karfreitag;BY
2051-04-03;Ostermontag;BY
2051-05-01;Erster Mai;BY
2051-05-11;Christi Himmelfahrt;BY
2051-05-22;Pfingstmontag;BY
2051-10-03;Tag der Deutschen Einheit;BY
2051-12-25;Erster Weihnachtstag;BY
2051-12-26;Zweiter Weihnachtstag;BY
2051-01-06;Heilige Drei Könige;BY
2051-06-01;Fronleichnam;BY
2051-11-01;Allerheiligen;BY
2052-01-01;Neujahr;BY
2052-04-19;Karfreitag;BY
2052-04-22;Ostermontag;BY
2052-05-01;Erster Mai;BY
2052-05-30;Christi Himmelfahrt;BY
2052-06-10;Pfingstmontag;BY
2052-10-03;Tag der Deutschen Einheit;BY
2052-12-25;Erster Weihnachtstag;BY
2052-12-26;Zweiter Weihnachtstag;BY
2052-01-06;Heilige Drei Könige;BY
2052-06-20;Fronleichnam;BY
2052-11-01;Allerheiligen;BY
2053-01-01;Neujahr;BY
2053-04-04;Karfreitag;BY
2053-04-07;Ostermontag;BY
2053-05-01;Erster Mai;BY
2053-05-15;Christi Himmelfahrt;BY
2053-05-26;Pfingstmontag;BY
2053-10-03;Tag der Deutschen Einheit;BY
2053-12-25;Erster Weihnachtstag;BY
2053-12-26;Zweiter Weihnachtstag;BY
2053-01-06;Heilige Drei Könige;BY
2053-06-05;Fronleichnam;BY
2053-11-01;Allerheiligen;BY
2054-01-01;Neujahr;BY
2054-03-27;Karfreitag;BY
2054-03-30;Ostermontag;BY
2054-05-01;Erster Mai;BY
2054-05-07;Christi Himmelfahrt;BY
2054-05-18;Pfingstmontag;BY
2054-10-03;Tag der Deutschen Einheit;BY
2054-12-25;Erster Weihnachtstag;BY
2054-12-26;Zweiter Weihnachtstag;BY
2054-01-06;Heilige Drei Könige;BY
2054-05-28;Fronleichnam;BY
2054-11-01;Allerheiligen;BY
2055-01-01;Neujahr;BY
2055-04-16;Karfreitag;BY
2055-04-19;Ostermontag;BY
2055-05-01;Erster Mai;BY
2055-05-27;Christi Himmelfahrt;BY
2055-06-07;Pfingstmontag;BY
2055-10-03;Tag der Deutschen Einheit;BY
2055-12-25;Erster Weihnachtstag;BY
2055-12-26;Zweiter Weihnachtstag;BY
2055-01-06;Heilige Drei Könige;BY
2055-06-17;Fronleichnam;BY
2055-11-01;Allerheiligen;BY
2056-01-01;Neujahr;BY
2056-03-31;Karfreitag;BY
2056-04-03;Ostermontag;BY
2056-05-01;Erster Mai;BY
2056-05-11;Christi Himmelfahrt;BY
2056-05-22;Pfingstmontag;BY
2056-10-03;Tag der Deutschen Einheit;BY
2056-12-25;Erster Weihnachtstag;BY
2056-12-26;Zweiter Weihnachtstag;BY
2056-01-06;Heilige Drei Könige;BY
2056-06-01;Fronleichnam;BY
2056-11-01;Allerheiligen;BY
